,t,x,v_boat,alpha,omega,R,d,h,N_paddles,rho,C_paddle,C_front,m,A_front,v_water,dt,f_paddles,f_body_drag,a
4801,48.00999999999902,2.050827400834462,0.045201648164056245,48.00999999999902,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.011992209649408241,-0.010402220122888486,0.0007949947632598774
4802,48.019999999999015,2.051279496815579,0.04520959811168884,48.019999999999015,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.011880140904711636,-0.010405879475185323,0.0007371307147631566
4803,48.02999999999901,2.051731666509767,0.045216969418836475,48.02999999999901,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.011756496097537525,-0.010409273054877542,0.0006736115213299915
4804,48.03999999999901,2.0521839035651075,0.04522370553404977,48.03999999999901,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.01162088410365065,-0.010412374690672271,0.0006042547064891894
4805,48.04999999999901,2.0526362010459187,0.045229748081114664,48.04999999999901,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.011472868337699699,-0.010415157367001642,0.0005288554853490283
4806,48.05999999999901,2.0530885514122783,0.04523503663596815,48.05999999999901,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.011311963674147727,-0.010417593124599295,0.00044718527477421565
4807,48.069999999999006,2.0535409464971655,0.04523950848871589,48.069999999999006,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.011137632932905218,-0.010419652954704636,0.0003589899891002909
4808,48.079999999999,2.0539933774810515,0.04524309838860689,48.079999999999,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.010949282883227439,-0.010421306685984198,0.00026398809862162014
4809,48.089999999999,2.0544458348637473,0.045245738269593105,48.089999999999,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.010746259710691602,-0.010422522863167858,0.00016186842376187185
4810,48.099999999999,2.0548983084332857,0.045247356953830725,48.099999999999,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.01052784388218951,-0.010423268616288457,5.228763295052601e-05
4811,48.109999999999,2.0553507872315873,0.04524787983016023,48.109999999999,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.010293244332530184,-0.010423509519284472,-6.513259337714416e-05
4812,48.119999999998996,2.0558032595166296,0.04524722850422646,48.119999999998996,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.010041591883186747,-0.010423209436574163,-0.00019080877669370826
4813,48.129999999998994,2.056255712720794,0.045245320416459525,48.129999999998994,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.009771931788475319,-0.010422330356032614,-0.00032519928377864726
4814,48.13999999999899,2.05670813340503,0.04524206842362174,48.13999999999899,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.009483215286628896,-0.010420832206596503,-0.0004688084599838039
4815,48.14999999999899,2.0571605072084203,0.0452373803390219,48.14999999999899,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.00917429001217301,-0.01041867265848033,-0.0006221913231536595
4816,48.15999999999899,2.0576128187926783,0.04523115842579036,48.15999999999899,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008843889101124991,-0.010415806903705976,-0.0007859589012904926
4817,48.169999999998986,2.058065051781046,0.045223298836777455,48.169999999998986,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.00849061879088589,-0.010412187414318255,-0.0009607843117161825
4818,48.179999999998984,2.0585171886909825,0.045213690993660294,48.179999999998984,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008454576221487039,-0.010407763675273135,-0.000976593726893048
4819,48.18999999999898,2.0589692279415464,0.04520392505639136,48.18999999999898,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008458602131472957,-0.010403268108205412,-0.0009723329883662276
4820,48.19999999999898,2.0594211699588114,0.0451942017265077,48.19999999999898,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008462376640778901,-0.010398793119432202,-0.0009682082393266504
4821,48.20999999999898,2.0598730151552527,0.04518451964411443,48.20999999999898,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.00846594641551997,-0.010394338070632378,-0.0009641958275562043
4822,48.219999999998976,2.060324763932111,0.04517487768583887,48.219999999998976,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008469353289722436,-0.010389902432871087,-0.0009602745715743257
